Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"interior designer";"5";"8";"9900";"67.34";"5.41";"https://www.houzz.com/professionals/interior-designer";"0.01";"0.04";"0.74";"99800000";"0.82,0.67,0.82,0.67,0.67,0.82,0.82,0.82,0.82,0.67,1.00,0.82";"1510882083"
"interior designers greenville sc";"1";"1";"880";"42.08";"2.52";"https://www.houzz.com/professionals/interior-designer/c/Greenville--SC";"0.00";"0.01";"0.59";"855000";"0.15,0.07,0.05,0.19,0.05,0.19,0.54,0.66,0.02,0.19,0.19,1.00";"1509570145"
"interior designers charleston sc";"1";"1";"880";"42.09";"4.42";"https://www.houzz.com/professionals/interior-designer/c/Charleston--SC";"0.00";"0.03";"0.57";"1590000";"0.82,0.36,0.04,0.15,0.36,0.29,0.54,0.44,1.00,0.15,0.15,0.19";"1509585884"
"interior design columbia sc";"1";"1";"880";"42.97";"5.41";"https://www.houzz.com/professionals/interior-designer/c/Columbia--SC";"0.00";"0.03";"0.63";"1770000";"0.06,0.07,0.10,0.03,0.24,0.29,0.36,0.29,0.67,1.00,1.00,0.19";"1509586808"
"interior design houston";"1";"1";"720";"57.53";"4.84";"https://www.houzz.com/professionals/interior-designer/houston";"0.00";"0.02";"0.79";"4170000";"1.00,0.88,0.88,0.72,0.88,0.88,0.72,0.72,0.72,0.59,0.88,0.59";"1508772678"
"interior barn doors";"11";"12";"6600";"77.80";"1.41";"https://www.houzz.com/photos/interior-doors/type_door--Barn-Doors";"0.00";"0.00";"1.00";"15700000";"0.67,0.55,0.44,0.44,0.55,0.67,0.55,0.67,0.67,0.67,1.00,1.00";"1510916856"
"interior designers knoxville tn";"1";"1";"590";"47.57";"4.17";"https://www.houzz.com/professionals/interior-designer/c/Knoxville--TN";"0.00";"0.02";"0.70";"798000";"0.06,0.24,0.05,0.55,0.24,0.03,0.08,0.19,0.82,0.05,0.12,1.00";"1509599116"
"interior designers nj";"1";"1";"590";"47.27";"4.42";"https://www.houzz.com/professionals/interior-designer/c/Westfield--NJ";"0.00";"0.02";"0.58";"29900000";"0.06,0.04,0.03,0.05,0.05,0.05,0.20,1.00,0.16,0.04,0.09,0.09";"1509569696"
"interior design atlanta";"1";"1";"590";"57.02";"3.42";"https://www.houzz.com/professionals/interior-designer/atlanta";"0.00";"0.01";"0.56";"4610000";"1.00,0.82,1.00,0.82,0.67,0.67,0.82,0.67,0.54,0.67,0.82,0.82";"1508864395"
"interior design san diego";"1";"1";"480";"58.63";"5.57";"https://www.houzz.com/professionals/interior-designer/san-diego";"0.00";"0.02";"0.80";"30100000";"0.81,0.81,1.00,0.81,1.00,1.00,0.81,0.81,0.66,0.81,1.00,1.00";"1508818857"
"interior designer columbus ohio";"1";"1";"480";"45.65";"4.36";"https://www.houzz.com/professionals/interior-designer/c/Columbus--OH";"0.00";"0.01";"0.67";"1240000";"0.82,0.16,1.00,0.44,1.00,0.44,0.16,0.12,0.30,0.44,0.44,0.82";"1509623283"
"houzz interior design ideas";"1";"1";"480";"86.31";"2.06";"https://www.houzz.com/";"0.00";"0.00";"0.82";"5800000";"0.20,0.37,0.16,0.11,0.05,0.37,0.45,0.37,0.37,0.45,1.00,0.77";"1508811535"
"interior designers nyc";"1";"1";"480";"61.54";"5.14";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.02";"0.72";"4860000";"1.00,1.00,0.81,0.81,0.66,0.66,0.81,0.66,0.54,0.54,0.81,1.00";"1508807879"
"black interior doors";"2";"2";"1600";"77.55";"1.36";"https://www.houzz.com/ideabooks/29576535/list/11-reasons-to-paint-your-interior-doors-black";"0.00";"0.00";"0.43";"14300000";"1.00,0.84,0.68,0.68,0.84,1.00,0.84,0.84,0.84,0.68,1.00,1.00";"1508962603"
"interior design nyc";"1";"1";"390";"55.43";"4.34";"https://www.houzz.com/professionals/interior-designer/new-york";"0.00";"0.01";"0.54";"36700000";"0.66,0.54,0.66,0.54,0.66,0.66,0.54,0.66,0.66,0.66,1.00,1.00";"1508809287"
