Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"modern interior design";"6";"6";"2400";"79.07";"3.99";"https://www.trendir.com/interiors/";"0.29";"0.87";"0.17";"143000000";"0.67,0.53,0.67,0.67,0.67,0.67,0.67,0.81,0.67,0.67,1.00,0.81";"1510897757"
"modern interiors";"4";"0";"720";"73.10";"2.18";"https://www.trendir.com/interiors/";"0.12";"0.20";"0.05";"56600000";"0.67,0.67,0.67,0.67,0.67,0.82,0.67,0.82,0.82,0.82,1.00,1.00";"1508795325"
"private jet interior";"6";"0";"880";"82.83";"10.58";"https://www.trendir.com/best-private-jet-interior-designs/";"0.10";"0.85";"0.07";"3330000";"0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.72,0.88,1.00,0.88";"1508806860"
"modern neoclassical interior design";"1";"0";"90";"69.64";"1.80";"https://www.trendir.com/modern-neoclassical-interiors-mixed-with-contemporary-by-britto-charette/";"0.10";"0.13";"0.47";"1800000";"0.22,0.33,0.11,0.44,0.11,0.78,0.33,0.22,0.78,0.11,0.11,1.00";"1509681532"
"modern house interior";"9";"0";"720";"75.62";"4.68";"https://www.trendir.com/interiors/";"0.05";"0.18";"0.10";"15600000";"0.67,0.55,0.67,0.67,1.00,0.82,0.67,0.67,0.82,0.82,1.00,1.00";"1508862010"
"modern interior design ideas";"4";"4";"260";"76.46";"3.06";"https://www.trendir.com/interiors/";"0.04";"0.10";"0.38";"113000000";"0.44,1.00,1.00,0.66,0.53,0.44,0.66,0.81,0.81,0.66,1.00,0.81";"1510704863"
"modern home interior";"6";"0";"320";"74.37";"5.11";"https://www.trendir.com/interiors/";"0.03";"0.14";"0.10";"289000000";"0.54,0.54,0.54,0.54,0.54,0.67,0.54,0.54,0.81,0.81,1.00,0.81";"1508892119"
"yacht interiors";"9";"0";"480";"47.79";"1.20";"https://www.trendir.com/yacht-interior-designs/";"0.03";"0.03";"0.17";"12300000";"0.54,0.67,0.67,0.67,0.82,0.82,0.82,0.67,0.67,0.67,1.00,0.82";"1508817115"
"modern homes interior";"4";"0";"170";"77.33";"3.13";"https://www.trendir.com/interiors/";"0.02";"0.06";"0.08";"122000000";"0.81,0.67,0.81,0.81,1.00,0.81,0.52,0.81,0.81,1.00,1.00,1.00";"1510858950"
"yacht interior design";"6";"0";"170";"55.37";"4.69";"https://www.trendir.com/yacht-interior-designs/";"0.01";"0.07";"0.42";"20200000";"1.00,1.00,0.81,1.00,1.00,0.81,1.00,0.81,0.81,0.67,0.67,1.00";"1510862016"
"modern home interiors";"5";"4";"140";"75.70";"1.56";"https://www.trendir.com/interiors/";"0.01";"0.01";"0.20";"71200000";"0.65,0.82,1.00,0.65,1.00,0.82,1.00,1.00,1.00,0.65,0.82,0.65";"1510795842"
"modern home interior design";"8";"10";"210";"74.44";"4.19";"https://www.trendir.com/interiors/";"0.01";"0.04";"0.38";"116000000";"0.81,0.66,1.00,0.81,0.81,0.81,0.81,0.81,0.53,0.53,0.66,0.53";"1510724987"
